"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 17 11:28:32 GMT 2021","Fri Dec 17 11:28:33 GMT 2021","637","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"skipped","Fri Dec 17 11:28:33 GMT 2021","Fri Dec 17 11:28:33 GMT 2021","0","","My Login application","","My Login application","fails","fails",""
